target,rmse,mae,mse,r2,model
u,6.724934151968258e-05,3.631807532893341e-05,4.5224739348309034e-09,0.9999999172202205,xgboost
uplv,4.599280341966388e-05,2.7257149636533653e-05,2.115337966399846e-09,0.9999968847697047,xgboost
up,4.318367614853799e-05,2.4740519861274512e-05,1.8648298857018084e-09,0.9999989528523208,xgboost
tau_w,6.0755624602143454e-05,2.906776811463445e-05,3.691245920796579e-09,0.9999997996513192,xgboost
u,3.5958552855214595e-05,1.0073457974587864e-05,1.2930175234412619e-09,0.9999999763324882,random_forest
uplv,1.2580999132291382e-05,3.6831469433142802e-06,1.582815391667165e-10,0.999999766900867,random_forest
up,2.9340463185059718e-05,9.108749973064596e-06,8.608627799138446e-10,0.9999995166044533,random_forest
tau_w,4.068589502062174e-05,1.2009578301276376e-05,1.6553420536290525e-09,0.999999910153481,random_forest
u,0.0003314095519403676,0.0001984156939236222,1.098322911173152e-07,0.9999979896196272,mlp_regressor
uplv,0.00034942068339486557,0.00019630670354058618,1.2209481398413488e-07,0.9998201925794074,mlp_regressor
up,0.0004747668505554102,0.00034375561711394036,2.254035623863032e-07,0.9998734303761196,mlp_regressor
tau_w,0.0004228459326095126,0.0003088594456676301,1.7879868272440846e-07,0.9999902953959239,mlp_regressor
